DOM,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,onFloor,totalFloor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,district_name,Lng_transed,Lat_transed,year,month
721,280,67470,41.5,1,0,1,1,4,19,1,2009,4,6,0.111,1,Haidian,116.2723492,39.92695703,2017,3
659,530,26100,203.07,6,2,1,2,3,6,4,1998,4,6,0.5,0,Shunyi,116.5468809,40.10688625,2017,1
629,300,29127,103,3,1,1,1,4,6,4,1998,4,2,0.5,0,Chaoyang,116.5938047,40.04441795,2017,1
548,2200,72132,305,3,2,1,3,1,12,1,2008,4,6,0.75,1,Dongcheng,116.4214675,39.94068632,2017,1
520,1100,57046,192.83,3,2,1,2,2,16,3,1999,3,6,1,1,Dongcheng,116.4194518,39.89809629,2017,1
571,150,30688,48.88,1,0,0,1,3,7,3,2013,4,6,0.13,1,Shunyi,116.5475558,40.11011849,2017,3
515,890,54269,164,3,2,1,2,2,22,1,2002,4,6,0.273,1,Chaoyang,116.468778,39.93010383,2017,1
505,644,126250,51.01,1,1,1,1,4,6,4,2003,3,6,0.333,0,Xicheng,116.3743679,39.95159352,2017,1
506,1750,71228,245.69,5,2,1,2,3,7,4,2000,4,6,0.5,1,Chaoyang,116.4600245,39.99057327,2017,1
487,258,38508,67,2,0,0,1,2,14,3,2010,4,6,0.231,1,Chaoyang,116.6017884,39.92500589,2017,1
479,3305,72162,458,6,4,1,3,0,25,4,2012,2,6,2,1,Chaoyang,116.4331869,39.97837093,2017,1
520,385,47567,80.94,2,2,1,1,0,9,4,2012,2,6,0.5,1,Fangshan,116.1797896,39.77149489,2017,2
465,2560,58682,436.25,4,2,1,4,0,6,4,2011,2,6,1,1,Haidian,116.2632911,40.03864619,2017,1
512,529.5,61685,85.84,2,1,1,1,3,12,3,2000,4,6,0.25,1,Chaoyang,116.4593052,39.88069129,2017,3
428,251,39219,64,1,0,1,1,1,19,1,2009,4,6,0.111,1,Haidian,116.2723492,39.92695703,2017,1
426,398,34588,115.07,3,2,1,1,4,6,4,2004,3,2,0.5,0,Shunyi,116.6611563,40.11769018,2017,1
458,945,71705,131.79,2,1,1,2,4,7,4,2003,4,6,0.5,1,Chaoyang,116.4476563,39.9536723,2017,2
467,1600,61539,260,4,2,1,2,1,10,3,2008,4,6,1,1,Chaoyang,116.4683589,39.937702,2017,2
482,385,65588,58.7,2,1,1,1,2,6,4,1985,3,4,0.5,0,Haidian,116.2501811,39.91267398,2017,3
423,329,31635,104,2,2,1,1,1,15,4,2007,4,6,0.5,1,Fangshan,116.1634069,39.75939774,2017,1
417,250,43104,58,1,0,0,0,1,26,1,2004,4,6,1.5,1,Chaoyang,116.4521679,39.90406558,2017,1
456,630,77778,81,3,1,1,1,2,18,1,1994,3,2,0.2,1,Xicheng,116.3816313,39.96478388,2017,3
409,1600,79602,201,3,2,1,2,2,14,3,2010,4,6,0.5,1,Xicheng,116.3600009,39.87707705,2017,1
